
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

175.728; 3698.667;  654.278; 3579.056
176.329; 3453.667;  569.278; 3311.056
176.930; 3553.667;  627.278; 3417.056
177.530; 3381.667;  545.278; 3324.056
178.131; 3006.667;  339.278; 2905.056
178.732; 3040.667;  510.278; 2899.056
179.332; 3010.667;  533.278; 2879.056
179.933; 3730.667;  654.278; 3708.056
180.534; 2894.667;  485.278; 2755.056
181.134; 2746.667;  480.278; 2716.056
181.735; 2513.667;  402.278; 2447.056
182.335; 2566.667;  425.278; 2561.056
182.936; 2524.667;  406.278; 2423.056
183.536; 2338.667;  381.278; 2199.056
184.137; 2494.667;  405.278; 2385.056
184.737; 2200.667;  376.278; 2163.056
185.338; 2342.667;  339.278; 2260.056
185.938; 2199.667;  356.278; 2141.056
186.538; 2328.667;  361.278; 2225.056
187.139; 2218.667;  317.278; 2074.056
187.739; 2163.667;  347.278; 2103.056
188.339; 2024.667;  308.278; 1973.056
188.939; 2219.667;  335.278; 2086.056
189.540; 2039.667;  309.278; 2024.056
190.140; 1906.667;  275.278; 1752.056
190.740; 1901.667;  258.278; 1773.056
191.340; 2053.667;  319.278; 1948.056
191.940; 1759.667;  268.278; 1720.056
192.540; 1929.667;  289.278; 1829.056
193.140; 1698.667;  244.278; 1611.056
193.740; 1716.667;  254.278; 1590.056
194.340; 1782.667;  260.278; 1665.056
194.940; 1705.667;  237.278; 1665.056
195.540; 1654.667;  241.278; 1616.056
196.140; 1740.667;  263.278; 1653.056
196.740; 1781.667;  262.278; 1770.056
197.340; 1474.667;  217.278; 1418.056
197.940; 1654.667;  223.278; 1602.056
198.539; 1418.667;  163.278; 1337.056
199.139; 1383.667;  196.278; 1322.056
199.739; 1578.667;  216.278; 1524.056
200.339; 1578.667;  235.278; 1400.056
200.938; 1554.667;  206.278; 1404.056
201.538; 1434.667;  208.278; 1418.056
202.138; 1339.667;  159.278; 1326.056
202.737; 1394.667;  179.278; 1313.056
203.337; 1516.667;  222.278; 1427.056
203.936; 1264.667;  176.278; 1249.056
204.536; 1380.667;  159.278; 1310.056
205.135; 1447.667;  198.278; 1346.056
205.735; 1418.667;  154.278; 1342.056
206.334; 1317.667;  202.278; 1301.056
206.934; 1401.667;  191.278; 1372.056
207.533; 1317.667;  168.278; 1282.056
208.132; 1417.667;  172.278; 1280.056
208.732; 1544.667;  182.278; 1440.056
209.331; 1388.667;  158.278; 1358.056
209.930; 1582.667;  226.278; 1557.056
210.529; 1374.667;  181.278; 1276.056
211.129; 1324.667;  161.278; 1233.056
211.728; 1669.667;  224.278; 1585.056
212.327; 1319.667;  152.278; 1178.056
212.926; 1394.667;  106.278; 1308.056
213.525; 1406.667;  173.278; 1383.056
214.124; 1231.667;  167.278; 1172.056
214.723; 1242.667;  169.278; 1200.056
215.322; 1183.667;   97.278; 1060.056
215.921; 1202.667;  156.278; 1095.056
216.520; 1296.667;  139.278; 1191.056
217.119; 1253.667;  158.278; 1165.056
217.718; 1184.667;  153.278; 1101.056
218.317; 1285.667;  173.278; 1199.056
218.916; 1444.667;  183.278; 1389.056
219.514; 1431.667;  200.278; 1325.056
220.113; 1688.667;  192.278; 1596.056
220.712; 1229.667;  175.278; 1162.056
221.311; 1654.667;  215.278; 1563.056
221.909; 1263.667;  168.278; 1162.056
222.508; 1503.667;  203.278; 1402.056
223.107; 1313.667;  175.278; 1219.056
223.705; 1360.667;  150.278; 1318.056
224.304; 1414.667;  162.278; 1373.056
224.903; 1205.667;  167.278; 1122.056
225.501; 1355.667;  208.278; 1276.056
226.100; 1256.667;  114.278; 1171.056
226.698; 1109.667;  132.278;  996.056
227.296; 1318.667;  150.278; 1212.056
227.895; 1334.667;  174.278; 1294.056
228.493; 1315.667;  165.278; 1153.056
229.092; 1143.667;  114.278; 1053.056
229.690; 1352.667;  143.278; 1237.056
230.288; 1532.667;  226.278; 1479.056
230.887; 1364.667;  148.278; 1276.056
231.485; 1127.667;  163.278; 1114.056
232.083; 1199.667;  168.278; 1082.056
232.681; 1401.667;  204.278; 1282.056
233.279; 3227.667;  504.278; 3029.056
233.877; 1223.667;  153.278; 1057.056
234.476; 1191.667;  118.278; 1132.056
235.074; 1465.667;  185.278; 1380.056
235.672; 1152.667;  149.278; 1082.056
236.270; 1305.667;  149.278; 1246.056
236.868; 1173.667;  139.278; 1046.056
237.466; 1291.667;  176.278; 1189.056
238.064; 1202.667;  113.278; 1171.056
238.661; 1293.667;  175.278; 1228.056
239.259; 1288.667;  173.278; 1164.056
239.857; 1238.667;  154.278; 1160.056
240.455; 1127.667;  135.278; 1038.056
241.053; 1196.667;  141.278; 1123.056
241.651; 1160.667;  132.278; 1111.056
242.248; 1399.667;  197.278; 1331.056
242.846; 1144.667;  136.278; 1061.056
243.444; 1221.667;  142.278; 1124.056
244.041; 1309.667;  103.278; 1171.056
244.639; 1277.667;  181.278; 1209.056
245.236; 1153.667;  119.278; 1107.056
245.834; 1031.667;  137.278;  992.056
246.432; 1234.667;  166.278; 1157.056
247.029; 1358.667;  180.278; 1297.056
247.626; 1368.667;  163.278; 1244.056
248.224; 1388.667;  200.278; 1267.056
248.821; 1217.667;  117.278; 1137.056
