
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

175.728; 3711.167;  654.278; 3579.056
176.329; 3487.167;  569.278; 3311.056
176.930; 3521.167;  627.278; 3417.056
177.530; 3439.167;  545.278; 3324.056
178.131; 2991.167;  339.278; 2905.056
178.732; 2989.167;  510.278; 2899.056
179.332; 3029.167;  533.278; 2879.056
179.933; 4550.167;  654.278; 3708.056
180.534; 2867.167;  485.278; 2755.056
181.134; 2739.167;  480.278; 2716.056
181.735; 2518.167;  402.278; 2447.056
182.335; 2590.167;  425.278; 2561.056
182.936; 2454.167;  406.278; 2423.056
183.536; 2351.167;  381.278; 2199.056
184.137; 2481.167;  405.278; 2385.056
184.737; 2208.167;  376.278; 2163.056
185.338; 2372.167;  339.278; 2260.056
185.938; 2202.167;  356.278; 2141.056
186.538; 2275.167;  361.278; 2225.056
187.139; 2160.167;  317.278; 2074.056
187.739; 2185.167;  347.278; 2103.056
188.339; 2109.167;  308.278; 1973.056
188.939; 2226.167;  335.278; 2086.056
189.540; 2105.167;  309.278; 2024.056
190.140; 1875.167;  275.278; 1752.056
190.740; 1906.167;  258.278; 1773.056
191.340; 2034.167;  319.278; 1948.056
191.940; 1790.167;  268.278; 1720.056
192.540; 1908.167;  289.278; 1829.056
193.140; 1771.167;  244.278; 1611.056
193.740; 1672.167;  254.278; 1590.056
194.340; 1748.167;  260.278; 1665.056
194.940; 1738.167;  237.278; 1665.056
195.540; 1663.167;  241.278; 1616.056
196.140; 1723.167;  263.278; 1653.056
196.740; 1795.167;  262.278; 1770.056
197.340; 1445.167;  217.278; 1418.056
197.940; 1664.167;  223.278; 1602.056
198.539; 1469.167;  163.278; 1337.056
199.139; 1425.167;  196.278; 1322.056
199.739; 1589.167;  216.278; 1524.056
200.339; 1510.167;  235.278; 1400.056
200.938; 1525.167;  206.278; 1404.056
201.538; 1496.167;  208.278; 1418.056
202.138; 1424.167;  159.278; 1326.056
202.737; 1390.167;  179.278; 1313.056
203.337; 1568.167;  222.278; 1427.056
203.936; 1210.167;  176.278; 1249.056
204.536; 1433.167;  159.278; 1310.056
205.135; 1435.167;  198.278; 1346.056
205.735; 1456.167;  154.278; 1342.056
206.334; 1343.167;  202.278; 1301.056
206.934; 1416.167;  191.278; 1372.056
207.533; 1358.167;  168.278; 1282.056
208.132; 1443.167;  172.278; 1280.056
208.732; 1545.167;  182.278; 1440.056
209.331; 1441.167;  158.278; 1358.056
209.930; 1639.167;  226.278; 1557.056
210.529; 1352.167;  181.278; 1276.056
211.129; 1289.167;  161.278; 1233.056
211.728; 1704.167;  224.278; 1585.056
212.327; 1318.167;  152.278; 1178.056
212.926; 1395.167;  106.278; 1308.056
213.525; 1449.167;  173.278; 1383.056
214.124; 1266.167;  167.278; 1172.056
214.723; 1275.167;  169.278; 1200.056
215.322; 1176.167;   97.278; 1060.056
215.921; 1157.167;  156.278; 1095.056
216.520; 1266.167;  139.278; 1191.056
217.119; 1288.167;  158.278; 1165.056
217.718; 1173.167;  153.278; 1101.056
218.317; 1289.167;  173.278; 1199.056
218.916; 1508.167;  183.278; 1389.056
219.514; 1424.167;  200.278; 1325.056
220.113; 1665.167;  192.278; 1596.056
220.712; 1256.167;  175.278; 1162.056
221.311; 1686.167;  215.278; 1563.056
221.909; 1235.167;  168.278; 1162.056
222.508; 1469.167;  203.278; 1402.056
223.107; 1326.167;  175.278; 1219.056
223.705; 1383.167;  150.278; 1318.056
224.304; 1410.167;  162.278; 1373.056
224.903; 1185.167;  167.278; 1122.056
225.501; 1352.167;  208.278; 1276.056
226.100; 1268.167;  114.278; 1171.056
226.698; 1095.167;  132.278;  996.056
227.296; 1278.167;  150.278; 1212.056
227.895; 1262.167;  174.278; 1294.056
228.493; 1263.167;  165.278; 1153.056
229.092; 1117.167;  114.278; 1053.056
229.690; 1383.167;  143.278; 1237.056
230.288; 1554.167;  226.278; 1479.056
230.887; 1382.167;  148.278; 1276.056
231.485; 1185.167;  163.278; 1114.056
232.083; 1194.167;  168.278; 1082.056
232.681; 1363.167;  204.278; 1282.056
233.279; 2470.167;  504.278; 3029.056
233.877; 1146.167;  153.278; 1057.056
234.476; 1196.167;  118.278; 1132.056
235.074; 1476.167;  185.278; 1380.056
235.672; 1159.167;  149.278; 1082.056
236.270; 1234.167;  149.278; 1246.056
236.868; 1158.167;  139.278; 1046.056
237.466; 1289.167;  176.278; 1189.056
238.064; 1257.167;  113.278; 1171.056
238.661; 1305.167;  175.278; 1228.056
239.259; 1264.167;  173.278; 1164.056
239.857; 1180.167;  154.278; 1160.056
240.455; 1168.167;  135.278; 1038.056
241.053; 1168.167;  141.278; 1123.056
241.651; 1234.167;  132.278; 1111.056
242.248; 1393.167;  197.278; 1331.056
242.846; 1135.167;  136.278; 1061.056
243.444; 1187.167;  142.278; 1124.056
244.041; 1349.167;  103.278; 1171.056
244.639; 1320.167;  181.278; 1209.056
245.236; 1198.167;  119.278; 1107.056
245.834; 1047.167;  137.278;  992.056
246.432; 1225.167;  166.278; 1157.056
247.029; 1350.167;  180.278; 1297.056
247.626; 1353.167;  163.278; 1244.056
248.224; 1352.167;  200.278; 1267.056
248.821; 1227.167;  117.278; 1137.056
249.419; 1248.167;  162.278; 1204.056
250.016; 1140.167;  151.278; 1032.056
250.613; 1296.167;  168.278; 1161.056
251.211; 1405.167;  165.278; 1319.056
251.808; 1213.167;  145.278; 1132.056
252.405; 1363.167;  164.278; 1275.056
253.002; 1447.167;  174.278; 1389.056
253.600; 1327.167;  169.278; 1268.056
254.197; 1278.167;  161.278; 1197.056
254.794; 1300.167;  171.278; 1201.056
255.391; 1231.167;  175.278; 1199.056
255.988; 1157.167;  116.278; 1096.056
256.585; 1243.167;  163.278; 1157.056
257.182; 1378.167;  159.278; 1234.056
257.779; 1153.167;  152.278; 1066.056
258.376; 1235.167;  164.278; 1173.056
258.973; 1240.167;  175.278; 1145.056
259.570; 1311.167;   94.278; 1234.056
260.167; 1438.167;  162.278; 1336.056
260.763; 1260.167;  159.278; 1178.056
261.360; 1335.167;  159.278; 1240.056
261.957; 1659.167;  196.278; 1590.056
262.554; 1543.167;  200.278; 1490.056
263.150; 1478.167;  146.278; 1377.056
263.747; 1365.167;  156.278; 1294.056
264.344; 1235.167;  158.278; 1165.056
264.940; 1259.167;  163.278; 1186.056
265.537; 1289.167;  177.278; 1192.056
266.134; 1492.167;  194.278; 1380.056
266.730; 1304.167;  157.278; 1214.056
267.327; 1375.167;  176.278; 1320.056
267.923; 1285.167;  164.278; 1210.056
268.519; 1226.167;  179.278; 1121.056
269.116; 1305.167;  168.278; 1235.056
269.712; 1113.167;  113.278; 1038.056
270.309; 1167.167;  109.278; 1059.056
270.905; 1386.167;  177.278; 1272.056
271.501; 1350.167;  194.278; 1254.056
272.098; 1360.167;  165.278; 1233.056
272.694; 1448.167;  219.278; 1366.056
273.290; 1263.167;  147.278; 1163.056
273.886; 1298.167;  117.278; 1245.056
274.482; 1274.167;  156.278; 1168.056
275.078; 1519.167;  211.278; 1404.056
275.675; 1285.167;  174.278; 1206.056
276.271; 1155.167;  140.278; 1079.056
276.867; 1200.167;  165.278; 1086.056
277.463; 1330.167;  167.278; 1289.056
278.059; 1379.167;  148.278; 1281.056
278.655; 1186.167;  172.278; 1112.056
279.250; 1257.167;  165.278; 1187.056
279.846; 1069.167;  143.278;  982.056
280.442; 1176.167;  140.278; 1046.056
281.038; 1439.167;  183.278; 1384.056
281.634; 1208.167;  131.278; 1149.056
282.230; 1236.167;  181.278; 1181.056
282.825; 1218.167;  160.278; 1158.056
283.421; 1079.167;  127.278; 1004.056
284.017; 1145.167;   92.278; 1017.056
284.612; 1209.167;  134.278; 1150.056
285.208; 1253.167;  117.278; 1132.056
285.804; 1400.167;  191.278; 1264.056
286.399; 1127.167;  144.278; 1063.056
286.995; 1220.167;  145.278; 1098.056
287.590; 1328.167;  178.278; 1212.056
288.186; 1278.167;  105.278; 1157.056
288.781; 1353.167;  166.278; 1261.056
289.376; 1163.167;  137.278; 1101.056
289.972; 1197.167;  155.278; 1148.056
290.567; 1237.167;  160.278; 1125.056
291.162; 1350.167;  177.278; 1304.056
291.758; 1292.167;  148.278; 1184.056
292.353; 1157.167;  111.278; 1100.056
292.948; 1200.167;  178.278; 1125.056
293.543; 1336.167;  209.278; 1276.056
294.139; 1264.167;  191.278; 1225.056
294.734; 1219.167;  153.278; 1153.056
295.329; 1366.167;  188.278; 1313.056
295.924; 1199.167;  134.278; 1184.056
296.519; 1145.167;  145.278; 1099.056
297.114; 1335.167;  152.278; 1282.056
297.709; 1389.167;  183.278; 1326.056
298.304; 1232.167;  147.278; 1138.056
298.899; 1227.167;  126.278; 1167.056
299.494; 1264.167;  139.278; 1195.056
300.089; 1455.167;  197.278; 1356.056
300.683; 1206.167;  152.278; 1158.056
301.278; 1227.167;  188.278; 1208.056
301.873; 1515.167;  182.278; 1361.056
302.468; 1481.167;  190.278; 1459.056
303.062; 1245.167;  147.278; 1203.056
303.657; 1378.167;  107.278; 1250.056
304.252; 1423.167;  181.278; 1351.056
304.846; 1227.167;  126.278; 1230.056
305.441; 1610.167;  198.278; 1475.056
306.036; 1420.167;  202.278; 1375.056
306.630; 1386.167;  152.278; 1338.056
307.225; 1399.167;  213.278; 1359.056
307.819; 1397.167;  134.278; 1282.056
308.413; 1184.167;  152.278; 1155.056
309.008; 1157.167;  132.278; 1011.056
309.602; 1408.167;  181.278; 1364.056
310.197; 1547.167;  189.278; 1445.056
310.791; 1220.167;  132.278; 1180.056
311.385; 1151.167;  127.278; 1103.056
311.979; 1158.167;  155.278; 1119.056
312.574; 1239.167;  161.278; 1103.056
313.168; 1329.167;  163.278; 1156.056
313.762; 1151.167;  111.278; 1071.056
314.356; 1361.167;  190.278; 1301.056
314.950; 1578.167;  190.278; 1519.056
315.544; 1433.167;  179.278; 1303.056
316.138; 1384.167;  182.278; 1321.056
316.732; 1375.167;  180.278; 1245.056
317.326; 1288.167;  138.278; 1194.056
317.920; 1160.167;  160.278; 1123.056
318.514; 1358.167;  168.278; 1287.056
319.108; 1153.167;  102.278; 1150.056
319.702; 1347.167;  191.278; 1306.056
320.296; 1339.167;  158.278; 1226.056
320.890; 1347.167;  157.278; 1263.056
321.483; 1352.167;  157.278; 1255.056
322.077; 1148.167;  140.278; 1062.056
322.671; 1267.167;  162.278; 1192.056
323.264; 1069.167;  148.278; 1020.056
323.858; 1167.167;  113.278; 1037.056
324.452; 1297.167;  127.278; 1209.056
325.045; 1179.167;  155.278; 1096.056
325.639; 1189.167;  148.278; 1125.056
326.232; 1160.167;  157.278; 1117.056
326.826; 1567.167;  209.278; 1466.056
327.419; 1080.167;  106.278; 1032.056
328.013; 1193.167;  128.278; 1161.056
328.606; 1204.167;  165.278; 1182.056
329.200; 1371.167;  181.278; 1270.056
329.793; 1139.167;  147.278; 1060.056
330.386; 1411.167;  180.278; 1355.056
330.979; 1474.167;  207.278; 1396.056
331.573; 1455.167;  173.278; 1376.056
332.166; 1323.167;  181.278; 1214.056
332.759; 1297.167;  166.278; 1239.056
333.352; 1315.167;  147.278; 1251.056
333.945; 1364.167;  170.278; 1295.056
334.538; 1265.167;  159.278; 1147.056
335.131; 1221.167;  147.278; 1130.056
335.724; 1418.167;  174.278; 1353.056
336.317; 1271.167;  172.278; 1241.056
336.910; 1453.167;  204.278; 1329.056
337.503; 1392.167;  140.278; 1271.056
338.096; 1488.167;  210.278; 1346.056
338.689; 1284.167;  132.278; 1170.056
339.282; 1223.167;  167.278; 1126.056
339.875; 1290.167;  171.278; 1224.056
340.468; 1287.167;  187.278; 1267.056
341.060; 1263.167;  160.278; 1186.056
341.653; 1365.167;  153.278; 1274.056
342.246; 1305.167;  150.278; 1280.056
342.838; 1236.167;  182.278; 1155.056
343.431; 1357.167;  188.278; 1259.056
344.024; 1359.167;  191.278; 1304.056
344.616; 1234.167;  167.278; 1154.056
345.209; 1346.167;  192.278; 1279.056
345.801; 1085.167;  128.278; 1029.056
346.394; 1394.167;  163.278; 1321.056
346.986; 1281.167;  158.278; 1199.056
347.578; 1134.167;  152.278; 1090.056
348.171; 1292.167;  161.278; 1203.056
348.763; 1212.167;  153.278; 1100.056
349.355; 1176.167;  134.278; 1176.056
349.948; 1754.167;  210.278; 1653.056
350.540; 1432.167;  187.278; 1400.056
351.132; 1361.167;  195.278; 1297.056
351.724; 1251.167;  133.278; 1161.056
352.316; 1285.167;  166.278; 1171.056
352.909; 1420.167;  136.278; 1360.056
353.501; 1273.167;  134.278; 1243.056
354.093; 1306.167;  154.278; 1290.056
354.685; 1357.167;  167.278; 1252.056
355.277; 1164.167;  132.278; 1101.056
355.869; 1433.167;  191.278; 1303.056
356.461; 1338.167;  140.278; 1287.056
357.052; 1240.167;  164.278; 1142.056
357.644; 1424.167;  184.278; 1351.056
358.236; 1185.167;  149.278; 1138.056
358.828; 1124.167;  134.278; 1059.056
359.420; 1422.167;  209.278; 1309.056
360.011; 1561.167;  187.278; 1474.056
360.603; 1809.167;  249.278; 1681.056
361.195; 1344.167;  195.278; 1288.056
361.786; 1419.167;  190.278; 1313.056
362.378; 1136.167;  135.278; 1116.056
